"REF_DATE","GEO","DGUID","Type of grain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","53257","","","","0"
"2006-02","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","78571","","","","0"
"2006-03","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","83288","","","","0"
"2006-04","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","44273","","","","0"
"2006-05","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","42807","","","","0"
"2006-06","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","20460","","","","0"
"2006-07","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","654548","","","","0"
"2006-08","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","819503","","","","0"
"2006-09","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","288688","","","","0"
"2006-10","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","187562","","","","0"
"2006-11","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","56116","","","","0"
"2006-12","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","48126","","","","0"
"2007-01","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","74723","","","","0"
"2007-02","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","44992","","","","0"
"2007-03","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","50445","","","","0"
"2007-04","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","42473","","","","0"
"2007-05","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","30764","","","","0"
"2007-06","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","16165","","","","0"
"2007-07","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","381693","","","","0"
"2007-08","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","430768","","","","0"
"2007-09","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","97571","","","","0"
