,Month,Province,Mean_Temp,Min_Temp,Max_Temp,Mean_Diff_from_Normal,Snowfall,Percent_of_Normal_Snowfall,Total_Precip,Percent_of_Normal_Precip,Snow_on_Ground,Days_with_Precip,Heating_Degree_Days,Cooling_Degree_Days
1247,2018-04,QC,-2.0285714285714285,-16.445918367346938,17.113705583756346,-2.5,19.479807692307695,160.46938775510205,87.14117647058823,137.4,7.6422018348623855,10.48663101604278,548.984761904762,0.0
1248,2018-05,BC,13.817972350230415,3.485321100917431,26.498623853211008,2.5821428571428573,0.0,0.0,26.642009132420092,48.3859649122807,0.009523809523809525,4.337899543378995,121.5811059907834,5.306451612903226
1249,2018-05,AB,14.00562248995984,-0.538,29.968924302788842,3.7411764705882353,0.0,0.0,20.89183673469388,65.0909090909091,0.0,4.130612244897959,117.53493975903615,6.6714859437751
1250,2018-05,SK,13.350632911392406,-4.122784810126582,31.13625,3.553846153846154,0.7851851851851852,0.0,31.781481481481485,78.76923076923077,0.0,5.2592592592592595,144.27215189873417,11.056962025316455
1251,2018-05,MB,11.739344262295083,-5.888524590163934,30.455737704918032,3.266666666666667,0.0,0.0,32.49714285714286,58.27272727272727,0.0,4.085714285714285,187.85245901639345,15.311475409836065
1252,2018-05,ON,13.371337579617835,-1.037579617834395,29.93913043478261,2.793548387096774,0.03428571428571429,0.0,60.006206896551724,69.42857142857143,0.0,7.8068965517241375,146.25350318471337,18.51847133757962
1253,2018-05,QC,7.615887850467289,-3.9401015228426397,27.71515151515152,-0.3,0.9323232323232324,2.593220338983051,51.87277777777778,70.5625,0.4642857142857143,8.144444444444444,305.7485981308411,3.7672897196261683
1254,2018-06,BC,14.453456221198158,4.311981566820276,29.563761467889908,0.04523809523809522,0.071875,2.5555555555555554,61.888288288288294,102.94,0.0,9.621621621621621,105.87096774193549,12.248387096774193
1255,2018-06,AB,15.214342629482072,2.3095238095238093,30.029644268774703,1.211764705882353,0.0,0.0,63.05528455284553,103.64285714285714,0.0,7.934959349593496,94.04701195219123,14.906374501992032
1256,2018-06,SK,16.654430379746834,3.59746835443038,30.85,1.5153846153846153,1.5407407407407407,0.0,63.29876543209876,102.92857142857143,0.0,7.419753086419753,61.003797468354435,23.68607594936709
1257,2018-06,MB,17.190163934426227,4.00327868852459,31.221311475409838,1.5583333333333333,0.0,0.0,80.44927536231884,100.2,0.0,7.695652173913044,51.02131147540984,39.6983606557377
1258,2018-06,ON,17.05095541401274,5.022929936305733,31.08695652173913,0.2212121212121212,0.028169014084507043,0.0,55.89586206896551,75.72222222222223,0.0,6.6482758620689655,56.08025477707007,31.76624203821656
1259,2018-06,QC,12.63644859813084,1.6269035532994924,28.21818181818182,-0.3,0.04742268041237114,0.0,76.41843575418994,94.3529411764706,0.0,8.854748603351956,161.2570093457944,12.05981308411215
1260,2018-07,BC,18.500471698113206,7.3283018867924525,31.82582159624413,1.6675,0.0,0.0,20.38511627906977,44.46,0.0,3.73953488372093,37.60424528301887,51.91698113207547
1261,2018-07,AB,17.16972111553785,4.592460317460318,32.34664031620553,0.48235294117647065,0.0,0.0,56.398795180722885,94.91666666666667,0.0,7.538152610441767,51.352191235059756,26.775298804780878
1262,2018-07,SK,17.941558441558442,5.341558441558441,32.452564102564104,0.09166666666666667,0.008,0.0,60.41139240506329,83.0,0.0,7.2405063291139244,37.102597402597404,36.274025974025975
1263,2018-07,MB,18.773333333333333,6.2266666666666675,31.825,0.3833333333333333,0.0,0.0,66.35735294117647,113.33333333333333,0.0,6.735294117647059,28.091666666666665,52.230000000000004
1264,2018-07,ON,20.888535031847134,8.872611464968152,32.57515527950311,1.6242424242424243,0.0,0.0,66.87724137931035,89.61538461538461,0.0,7.062068965517241,11.659872611464968,94.29554140127388
1265,2018-07,QC,18.544859813084113,6.326262626262626,32.22964824120603,2.9,0.0,0.0,84.83701657458563,73.23529411764706,0.0,8.861878453038674,47.390654205607476,66.50280373831775
1266,2018-08,BC,17.611737089201878,7.271361502347418,31.378504672897197,0.8914634146341462,0.0,0.0,16.674647887323943,34.36538461538461,0.0,3.6103286384976525,47.114553990610325,36.139906103286386
1267,2018-08,AB,16.150597609561753,1.1714285714285715,35.02924901185771,0.5470588235294118,0.0,0.0,30.431451612903224,61.84615384615385,0.0,5.366935483870968,79.67250996015936,26.91155378486056
1268,2018-08,SK,16.73116883116883,1.9103896103896103,36.20641025641026,0.2125,0.0,0.0,26.879746835443036,42.38461538461539,0.0,4.822784810126582,76.29220779220779,37.967532467532465
1269,2018-08,MB,16.949180327868852,3.2934426229508196,33.24426229508197,-0.21666666666666665,0.0,0.0,34.70144927536232,61.09090909090909,0.0,4.36231884057971,63.15081967213114,41.5
