Trial,Learning Rate,Max Depth,Training time,Validation time,Accuracy,Precision,Recall,F1 Score
0.0,0.4,1,5.469658613204956,0.0059986114501953125,0.9121338912133892,0.8729066984995169,0.9121338912133892,0.8908099199738214
1.0,0.4,3,14.510558128356934,0.013999700546264648,0.09372384937238494,0.8220628325214221,0.09372384937238494,0.15545576793111535
2.0,0.4,5,19.37294864654541,0.016002416610717773,0.06610878661087866,0.7771051830704264,0.06610878661087866,0.11132071669516279
3.0,0.4,7,14.867103576660156,0.017998695373535156,0.9263598326359833,0.9289083301635602,0.9263598326359833,0.9274454738681487
4.0,0.2,1,5.4218432903289795,0.006000041961669922,0.9280334728033472,0.9177973566084326,0.9280334728033472,0.9208602586151656
5.0,0.2,3,12.760541915893555,0.01099848747253418,0.906276150627615,0.9234226712685344,0.906276150627615,0.9127854104048811
6.0,0.2,5,17.689109325408936,0.01999807357788086,0.9338912133891213,0.9319346603250754,0.9338912133891213,0.9327541236273048
7.0,0.2,7,19.932674169540405,0.02499985694885254,0.9297071129707113,0.9296887561597081,0.9297071129707113,0.9295793201646061
8.0,0.1,1,5.3880295753479,0.007001399993896484,0.9146443514644351,0.9013427895353475,0.9146443514644351,0.8946100264285639
9.0,0.1,3,13.966454267501831,0.014001846313476562,0.9230125523012552,0.9190978549821524,0.9230125523012552,0.920323922301737
10.0,0.1,5,21.905879020690918,0.023998022079467773,0.9355648535564853,0.9348920578185818,0.9355648535564853,0.9345893480180054
11.0,0.1,7,30.02393078804016,0.04999995231628418,0.9364016736401674,0.9346024784961531,0.9364016736401674,0.9352993897002577
12.0,0.08,1,7.8786327838897705,0.011998891830444336,0.9112970711297071,0.8673256440341518,0.9112970711297071,0.8879281764279834
13.0,0.08,3,18.230889320373535,0.01399993896484375,0.9096234309623431,0.9276986152200205,0.9096234309623431,0.9173293299377575
14.0,0.08,5,22.583922147750854,0.02400064468383789,0.9372384937238494,0.939259451127777,0.9372384937238494,0.9361998383007958
15.0,0.08,7,30.682939291000366,0.037000417709350586,0.9372384937238494,0.9365531523964247,0.9372384937238494,0.9366009387881634
16.0,0.06,1,5.395610570907593,0.006999492645263672,0.9129707112970711,0.8660051122566591,0.9129707112970711,0.884661314033699
17.0,0.06,3,13.94779920578003,0.015000104904174805,0.9355648535564853,0.9301008180999837,0.9355648535564853,0.9320874794583014
18.0,0.06,5,23.051913022994995,0.024001359939575195,0.9330543933054394,0.9349519784637886,0.9330543933054394,0.9319919623815616
19.0,0.06,7,31.582793951034546,0.03699994087219238,0.9355648535564853,0.9324947723925923,0.9355648535564853,0.9338093807855028
20.0,0.04,1,5.379865646362305,0.006000041961669922,0.8928870292887029,0.797247247072005,0.8928870292887029,0.8423611496472555
21.0,0.04,3,13.929601669311523,0.015000581741333008,0.9347280334728033,0.9319027911382594,0.9347280334728033,0.9305828586719623
22.0,0.04,5,23.07680344581604,0.024000167846679688,0.9347280334728033,0.9321248898941209,0.9347280334728033,0.9326920560629708
23.0,0.04,7,31.384146451950073,0.03400015830993652,0.9338912133891213,0.9311946921913825,0.9338912133891213,0.9318620844344554
24.0,0.02,1,5.363026857376099,0.0060002803802490234,0.8928870292887029,0.797247247072005,0.8928870292887029,0.8423611496472555
25.0,0.02,3,13.970986127853394,0.015002012252807617,0.9330543933054394,0.9202546661588626,0.9330543933054394,0.9254389438433399
26.0,0.02,5,23.188393354415894,0.02299952507019043,0.9380753138075314,0.9351803277415949,0.9380753138075314,0.9356290218196288
27.0,0.02,7,28.856105089187622,0.02759718894958496,0.9330543933054394,0.9281734612931826,0.9330543933054394,0.9303159919002838
