"REF_DATE","GEO","DGUID","Type of grain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005-07","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","501537","","","","0"
"2005-08","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","211360","","","","0"
"2005-09","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","361911","","","","0"
"2005-10","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","341123","","","","0"
"2005-11","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","551476","","","","0"
"2005-12","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","409630","","","","0"
"2006-01","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","397813","","","","0"
"2006-02","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","342025","","","","0"
"2006-03","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","633536","","","","0"
"2006-04","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","530463","","","","0"
"2006-05","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","604382","","","","0"
"2006-06","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","632004","","","","0"
"2006-07","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","691382","","","","0"
"2006-08","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","399157","","","","0"
"2006-09","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","340637","","","","0"
"2006-10","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","449095","","","","0"
"2006-11","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","578561","","","","0"
"2006-12","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","358134","","","","0"
"2007-01","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","475386","","","","0"
"2007-02","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","492649","","","","0"
