Climate_ID,Mean_Temp,Min_Temp,Max_Temp,Mean_Diff_from_Normal,Snowfall,Percent_of_Normal_Snowfall,Total_Precip,Percent_of_Normal_Precip,Snow_on_Ground,Days_with_Precip,Heating_Degree_Days,Cooling_Degree_Days,Mean_Temp_Normalized,Min_Temp_Normalized,Max_Temp_Normalized,Mean_Diff_from_Normal_Normalized,Snowfall_Normalized,Percent_of_Normal_Snowfall_Normalized,Total_Precip_Normalized,Percent_of_Normal_Precip_Normalized,Snow_on_Ground_Normalized,Days_with_Precip_Normalized,Heating_Degree_Days_Normalized,Cooling_Degree_Days_Normalized,Mean_Temp_Binned,Mean_Temp_Binned_Encoded,Min_Temp_Binned,Min_Temp_Binned_Encoded,Max_Temp_Binned,Max_Temp_Binned_Encoded,Mean_Diff_from_Normal_Binned,Mean_Diff_from_Normal_Binned_Encoded,Snowfall_Binned,Snowfall_Binned_Encoded,Percent_of_Normal_Snowfall_Binned,Percent_of_Normal_Snowfall_Binned_Encoded,Total_Precip_Binned,Total_Precip_Binned_Encoded,Percent_of_Normal_Precip_Binned,Percent_of_Normal_Precip_Binned_Encoded,Snow_on_Ground_Binned,Snow_on_Ground_Binned_Encoded,Days_with_Precip_Binned,Days_with_Precip_Binned_Encoded,Heating_Degree_Days_Binned,Heating_Degree_Days_Binned_Encoded,Cooling_Degree_Days_Binned,Cooling_Degree_Days_Binned_Encoded
10,-7.48559322,-22.36737288,7.362711864,0.0168,46.3530303,123.8211382,77.90948276,147.8790323,33.24657534,10.92672414,694.2114407,0,0.354583203,0.370503909,0.329494927,0.594291638,0.453635742,0.199309679,0.284056131,0.431234176,0.427677445,0.538419132,0.557329306,0,"(-7.488, -6.566]",8,"(-23.007, -21.409]",10,"(7.312, 8.041]",7,"(-0.086, 0.0242]",16,"(45.292, 55.882]",31,"(123.544, 131.45]",23,"(75.39, 78.082]",29,"(145.612, 152.467]",36,"(32.965, 39.69]",25,"(10.737, 11.04]",33,"(669.005, 702.516]",31,"(-0.001, 0.00328]",0
11,-11.624,-29.29891304,4.737818182,-0.624375,59.26318408,124.3305785,70.78174603,122.1810345,58.1,11.99206349,812.3036364,0,0.263568872,0.240833786,0.270325882,0.563432925,0.579981466,0.200129704,0.257369633,0.351223113,0.74738704,0.593937028,0.653095769,0,"(-12.906, -11.526]",3,"(-30.12, -28.838]",5,"(3.739, 4.741]",3,"(-0.634, -0.52]",11,"(55.882, 102.181]",32,"(123.544, 131.45]",23,"(70.504, 73.277]",27,"(120.066, 122.913]",30,"(39.69, 77.738]",26,"(11.768, 12.187]",36,"(773.561, 812.449]",35,"(-0.001, 0.00328]",0
12,3.257142857,-7.770845481,13.86938776,0.042929293,15.53802395,56.65625,103.8382199,102.6636771,12.39936102,12.42146597,439.4373178,0,0.590843914,0.643564938,0.476165171,0.595549199,0.152063478,0.091197183,0.38113424,0.290455557,0.159502956,0.616314424,0.350721101,0,"(2.71, 3.516]",18,"(-8.327, -7.133]",20,"(12.722, 13.884]",14,"(0.0242, 0.128]",17,"(15.262, 17.018]",20,"(54.368, 59.501]",11,"(100.693, 106.354]",36,"(102.075, 103.79]",22,"(11.686, 13.166]",15,"(12.187, 12.573]",37,"(434.277, 453.368]",23,"(-0.001, 0.00328]",0
13,-1.976470588,-20.55798319,12.65462185,1.792079208,14.15323383,59.68695652,13.95965665,57.22881356,1.869047619,4.17167382,611.1327731,0,0.47574314,0.404352631,0.448782524,0.67973295,0.138511176,0.096075584,0.04462572,0.148993495,0.024043063,0.186394049,0.489956944,0,"(-2.759, -1.62]",12,"(-21.409, -19.687]",11,"(11.653, 12.722]",13,"(1.685, 1.858]",31,"(14.151, 15.262]",19,"(59.501, 65.965]",12,"(12.754, 13.962]",3,"(55.119, 59.366]",4,"(1.504, 2.146]",7,"(3.945, 4.183]",5,"(595.801, 632.339]",29,"(-0.001, 0.00328]",0
14,-4.175974026,-21.70649351,10.59675325,1.281553398,9.274626866,55.12844037,10.11130952,50.45217391,13.37931034,2.869047619,682.5649351,0,0.427370338,0.382867151,0.402395076,0.65516217,0.090766498,0.088737932,0.030217373,0.127894336,0.172108832,0.118510454,0.547884612,0,"(-4.265, -2.759]",11,"(-23.007, -21.409]",10,"(10.499, 11.653]",12,"(1.188, 1.294]",27,"(8.209, 9.419]",14,"(54.368, 59.501]",11,"(8.489, 10.956]",1,"(44.166, 50.503]",2,"(13.166, 15.42]",16,"(2.446, 3.056]",1,"(669.005, 702.516]",31,"(-0.001, 0.00328]",0
15,-6.75826087,-23.64869565,5.97826087,0.433870968,19.71932773,113.6790123,21.25211268,93.02325581,29.95774648,4.183098592,763.56,0,0.370579133,0.346533871,0.298287323,0.614364588,0.192983971,0.182984326,0.071928934,0.260439975,0.385370593,0.186989427,0.613567283,0,"(-7.488, -6.566]",8,"(-24.569, -23.007]",9,"(5.705, 6.522]",5,"(0.353, 0.481]",20,"(18.161, 19.788]",22,"(111.171, 116.58]",21,"(20.312, 22.381]",8,"(91.187, 93.871]",17,"(29.497, 32.965]",24,"(3.945, 4.183]",5,"(749.607, 773.561]",34,"(-0.001, 0.00328]",0
16,-2.883333333,-18.51538462,9.482478632,-0.541269841,37.88542714,140.6048387,42.96137339,76.36,20.98571429,8.446351931,628.8316239,0,0.455798869,0.442564054,0.377277653,0.567432641,0.370767212,0.226325696,0.153209174,0.208558703,0.269956125,0.409159809,0.504309767,0,"(-4.265, -2.759]",11,"(-19.687, -17.857]",12,"(9.173, 9.8]",10,"(-0.634, -0.52]",11,"(36.378, 40.008]",29,"(140.04, 147.396]",25,"(41.886, 44.152]",16,"(74.479, 77.85]",10,"(20.015, 21.902]",20,"(8.345, 8.561]",23,"(595.801, 632.339]",29,"(-0.001, 0.00328]",0
17,-5.451272727,-27.95309091,8.161454545,-0.596875,59.89004975,164.954955,60.13187251,98.02702703,64.04102564,8.406374502,707.3076364,0,0.399323202,0.266010431,0.347499786,0.564756455,0.586116311,0.265521054,0.21749613,0.276019284,0.823811232,0.40707647,0.567949621,0,"(-6.566, -5.42]",9,"(-28.838, -27.314]",6,"(8.041, 8.595]",8,"(-0.634, -0.52]",11,"(55.882, 102.181]",32,"(158.139, 175.253]",27,"(59.959, 62.548]",23,"(97.851, 100.127]",20,"(39.69, 77.738]",26,"(8.345, 8.561]",23,"(702.516, 727.645]",32,"(-0.001, 0.00328]",0
18,6.32,-4.087572254,19.44,-0.707960199,6.649401198,70.54871795,77.85655527,94.17256637,3.1,10.44215938,325.3373913,0.002028986,0.65820411,0.712468887,0.601735135,0.559410104,0.065074625,0.113559305,0.283857969,0.264018369,0.039877794,0.513167071,0.258192155,1.71E-05,"(5.675, 6.576]",21,"(-4.104, -3.28]",24,"(19.031, 20.224]",19,"(-0.783, -0.634]",10,"(5.509, 6.688]",12,"(65.965, 70.98]",13,"(75.39, 78.082]",29,"(93.871, 96.055]",18,"(2.959, 4.169]",9,"(10.194, 10.445]",31,"(302.402, 330.602]",18,"(-0.001, 0.00328]",0
19,3.757861635,-10.77962382,22.3575,-0.213861386,22.21824818,132.9107143,23.88059211,79.72807018,0.98089172,3.763157895,376.7078616,0.064465409,0.601856022,0.58727894,0.667499966,0.58319028,0.217439754,0.213940788,0.081770054,0.219045235,0.012617999,0.16510511,0.299850863,0.000542491,"(3.516, 4.503]",19,"(-11.594, -10.363]",17,"(21.561, 22.606]",21,"(-0.306, -0.212]",14,"(21.333, 23.344]",24,"(131.45, 140.04]",24,"(22.381, 24.254]",9,"(77.85, 80.247]",11,"(0.585, 1.001]",5,"(3.691, 3.945]",4,"(358.708, 383.882]",20,"(0.0186, 0.0684]",2
