Climate_ID,Mean_Temp,Min_Temp,Max_Temp,Mean_Diff_from_Normal,Snowfall,Percent_of_Normal_Snowfall,Total_Precip,Percent_of_Normal_Precip,Snow_on_Ground,Days_with_Precip,Heating_Degree_Days,Cooling_Degree_Days,Mean_Temp_Normalized,Min_Temp_Normalized,Max_Temp_Normalized,Mean_Diff_from_Normal_Normalized,Snowfall_Normalized,Percent_of_Normal_Snowfall_Normalized,Total_Precip_Normalized,Percent_of_Normal_Precip_Normalized,Snow_on_Ground_Normalized,Days_with_Precip_Normalized,Heating_Degree_Days_Normalized,Cooling_Degree_Days_Normalized,Mean_Temp_Binned,Mean_Temp_Binned_Encoded,Min_Temp_Binned,Min_Temp_Binned_Encoded,Max_Temp_Binned,Max_Temp_Binned_Encoded,Mean_Diff_from_Normal_Binned,Mean_Diff_from_Normal_Binned_Encoded,Snowfall_Binned,Snowfall_Binned_Encoded,Percent_of_Normal_Snowfall_Binned,Percent_of_Normal_Snowfall_Binned_Encoded,Total_Precip_Binned,Total_Precip_Binned_Encoded,Percent_of_Normal_Precip_Binned,Percent_of_Normal_Precip_Binned_Encoded,Snow_on_Ground_Binned,Snow_on_Ground_Binned_Encoded,Days_with_Precip_Binned,Days_with_Precip_Binned_Encoded,Heating_Degree_Days_Binned,Heating_Degree_Days_Binned_Encoded,Cooling_Degree_Days_Binned,Cooling_Degree_Days_Binned_Encoded
127,0.954237288,-18.76271186,16.21012658,-2.982352941,13.01452514,128.9557522,22.47854077,105.9401709,3.282258065,6.665236052,511.5983051,0,0.54019703,0.437937239,0.528928939,0.449947267,0.127367159,0.207574651,0.076520724,0.300656965,0.042222326,0.316340742,0.409239807,0,"(0.354, 1.089]",15,"(-19.687, -17.857]",12,"(15.343, 16.481]",16,"(-3.745, -2.945]",2,"(13.011, 14.151]",18,"(123.544, 131.45]",23,"(22.381, 24.254]",9,"(103.79, 106.718]",23,"(2.959, 4.169]",9,"(6.415, 6.674]",15,"(497.903, 531.605]",26,"(-0.001, 0.00328]",0
128,-1.038562092,-17.25555556,17.38039216,-4.893137255,12.03687943,159.5277778,18.90769231,85.83333333,4.216981132,6.142011834,586.5973856,0,0.496370188,0.466132003,0.555308482,0.357984314,0.117799391,0.256785155,0.063151341,0.238054054,0.054246421,0.289074025,0.470060055,0,"(-1.62, -0.788]",13,"(-17.857, -16.177]",13,"(16.481, 18.189]",17,"(-4.901, -3.745]",1,"(11.794, 13.011]",17,"(158.139, 175.253]",27,"(18.057, 20.312]",7,"(84.924, 86.963]",14,"(4.169, 5.36]",10,"(6.133, 6.415]",14,"(562.688, 595.801]",28,"(-0.001, 0.00328]",0
129,-0.784210526,-13.62368421,18.0245614,-4.718965517,11.0112069,144.8333333,16.61690141,44.92771084,2.573529412,5.507042254,580.1350877,0,0.50196404,0.534074364,0.569829024,0.366366918,0.107761606,0.233132126,0.054574539,0.110693846,0.033105379,0.255983935,0.464819477,0,"(-0.788, 0.354]",14,"(-14.259, -12.888]",15,"(16.481, 18.189]",17,"(-4.901, -3.745]",1,"(10.699, 11.794]",16,"(140.04, 147.396]",25,"(15.263, 16.625]",5,"(44.166, 50.503]",2,"(2.146, 2.959]",8,"(5.309, 5.573]",11,"(562.688, 595.801]",28,"(-0.001, 0.00328]",0
130,6.289090909,-6.183636364,25.13636364,-1.607142857,4.99494382,73.08333333,69.72787611,86.17699115,0.635869565,11.10176991,361.9690909,5.428636364,0.657524338,0.673257271,0.730139724,0.5161339,0.048883213,0.117639168,0.253423907,0.239124037,0.008179702,0.547541271,0.287898507,0.045683224,"(5.675, 6.576]",21,"(-6.247, -4.991]",22,"(24.369, 25.145]",24,"(-2.001, -1.604]",5,"(4.249, 5.509]",11,"(70.98, 76.433]",14,"(67.898, 70.504]",26,"(84.924, 86.963]",14,"(0.585, 1.001]",5,"(11.04, 11.429]",34,"(358.708, 383.882]",20,"(4.642, 6.52]",9
131,4.568303571,-7.828125,22.96607143,-1.666165414,6.504761905,175.7196262,79.7435,85.42105263,0.381944444,11.01,404.4866071,1.615625,0.619679748,0.642493395,0.681218079,0.51329324,0.063659106,0.282848493,0.290922757,0.236770413,0.004913259,0.542758877,0.322377942,0.013595856,"(4.503, 5.675]",20,"(-8.327, -7.133]",20,"(22.606, 23.462]",22,"(-2.001, -1.604]",5,"(5.509, 6.688]",12,"(175.253, 194.198]",28,"(78.082, 80.661]",30,"(84.924, 86.963]",14,"(0.294, 0.585]",4,"(10.737, 11.04]",33,"(383.882, 409.25]",21,"(1.088, 1.96]",6
132,4.097583082,-6.491291291,12.81359517,2.096410256,5.045079365,7.315068493,161.0248588,75.62962963,1.343137255,11.54647887,392.3063444,0,0.60932738,0.66750189,0.452366021,0.69437991,0.049373866,0.011774758,0.595243039,0.206284685,0.017277855,0.570716333,0.312500399,0,"(3.516, 4.503]",19,"(-7.133, -6.247]",21,"(12.722, 13.884]",14,"(2.002, 2.269]",33,"(4.249, 5.509]",11,"(5.428, 10.523]",3,"(154.302, 269.132]",40,"(74.479, 77.85]",10,"(1.001, 1.504]",6,"(11.429, 11.768]",35,"(383.882, 409.25]",21,"(-0.001, 0.00328]",0
133,-0.565090909,-15.05127273,12.84275362,4.167368421,10.52485549,52.19811321,12.75816733,58.43636364,1.180555556,3.298804781,512.8272727,0,0.506783051,0.507368094,0.453023296,0.794051771,0.103001909,0.084021108,0.040127302,0.152753219,0.015186436,0.140906335,0.410236434,0,"(-0.788, 0.354]",14,"(-16.177, -14.259]",14,"(12.722, 13.884]",14,"(3.983, 4.807]",39,"(9.419, 10.699]",15,"(48.065, 54.368]",10,"(12.754, 13.962]",3,"(55.119, 59.366]",4,"(1.001, 1.504]",6,"(3.056, 3.436]",2,"(497.903, 531.605]",26,"(-0.001, 0.00328]",0
134,-4.612337662,-20.53441558,9.601948052,1.276470588,10.8,67.37614679,11.31146497,64,1.68115942,3.834394904,661.0220779,0,0.417773566,0.404793517,0.379970673,0.654917543,0.105694622,0.10845255,0.034710797,0.170075676,0.021626106,0.168817475,0.530414505,0,"(-5.42, -4.265]",10,"(-21.409, -19.687]",11,"(9.173, 9.8]",10,"(1.188, 1.294]",27,"(10.699, 11.794]",16,"(65.965, 70.98]",13,"(10.956, 12.754]",2,"(63.031, 65.731]",6,"(1.504, 2.146]",7,"(3.691, 3.945]",4,"(632.339, 669.005]",30,"(-0.001, 0.00328]",0
135,-6.715315315,-22.71171171,8.140540541,-0.440350877,12.43302752,55.76623377,13.31968504,50.7654321,3.766233766,4.307086614,735.7072072,0,0.371523617,0.364062273,0.347028353,0.572289707,0.121676309,0.089764561,0.042229644,0.12886967,0.048448095,0.193450799,0.590980156,0,"(-7.488, -6.566]",8,"(-23.007, -21.409]",10,"(8.041, 8.595]",8,"(-0.52, -0.437]",12,"(11.794, 13.011]",17,"(54.368, 59.501]",11,"(12.754, 13.962]",3,"(50.503, 55.119]",3,"(2.959, 4.169]",9,"(4.183, 4.4]",6,"(727.645, 749.607]",33,"(-0.001, 0.00328]",0
136,0.061009174,-12.5766055,13.85229358,-1.341441441,35.20451977,182.0363636,68.06875,80.58558559,6.492647059,12.57142857,532.0738532,0,0.52055262,0.553662337,0.475779843,0.528921679,0.344530408,0.293016279,0.24721208,0.221715121,0.083520142,0.624129407,0.425844383,0,"(-0.788, 0.354]",14,"(-12.888, -11.594]",16,"(12.722, 13.884]",14,"(-1.355, -1.138]",7,"(32.312, 36.378]",28,"(175.253, 194.198]",28,"(67.898, 70.504]",26,"(80.247, 82.582]",12,"(6.488, 8.348]",12,"(12.187, 12.573]",37,"(531.605, 562.688]",27,"(-0.001, 0.00328]",0
137,-2.045333333,-16.444,16.18888889,-1.640601504,56.21418919,269.04,85.89751244,96.17894737,11.97315436,14.28358209,589.7915556,0,0.474228669,0.481313984,0.528450209,0.51452359,0.550142358,0.433062374,0.313963597,0.270265263,0.154020317,0.713354647,0.472650357,0,"(-2.759, -1.62]",12,"(-17.857, -16.177]",13,"(15.343, 16.481]",16,"(-2.001, -1.604]",5,"(55.882, 102.181]",32,"(230.527, 621.25]",30,"(84.872, 87.882]",32,"(96.055, 97.851]",19,"(11.686, 13.166]",15,"(13.386, 14.506]",39,"(562.688, 595.801]",28,"(-0.001, 0.00328]",0
138,0.986153846,-8.212576687,9.654461538,2.465445026,20.02508039,41.25581395,142.6491477,89.79534884,12.10196078,12.9519774,497.0153846,0,0.540898958,0.635301357,0.381154406,0.712140956,0.195976231,0.066407749,0.526443727,0.250389843,0.155677257,0.6439609,0.397413838,0,"(0.354, 1.089]",15,"(-8.327, -7.133]",20,"(9.173, 9.8]",10,"(2.269, 2.566]",34,"(19.788, 21.333]",23,"(37.363, 43.464]",8,"(128.736, 154.302]",39,"(88.898, 91.187]",16,"(11.686, 13.166]",15,"(12.573, 13.386]",38,"(475.888, 497.903]",25,"(-0.001, 0.00328]",0
139,-5.81184669,-21.43170732,8.822068966,3.829292929,8.390960452,54.66363636,10.76618182,53.5,6.732394366,2.749090909,711.1700348,0,0.391393243,0.388007647,0.362391027,0.777780746,0.082118462,0.087989757,0.032669238,0.137383784,0.086604205,0.112259166,0.57108182,0,"(-6.566, -5.42]",9,"(-23.007, -21.409]",10,"(8.595, 9.173]",9,"(3.467, 3.983]",38,"(8.209, 9.419]",14,"(54.368, 59.501]",11,"(8.489, 10.956]",1,"(50.503, 55.119]",3,"(6.488, 8.348]",12,"(2.446, 3.056]",1,"(702.516, 727.645]",32,"(-0.001, 0.00328]",0
140,-8.103333333,-27.80933333,5.925333333,4.647524752,24.41374046,117.1759259,22.61644737,114.5929204,17.42105263,5.164473684,792.1486667,0,0.340997491,0.268699741,0.297094257,0.817160917,0.238926025,0.18861316,0.077037051,0.327597417,0.224101015,0.238131703,0.636751165,0,"(-8.259, -7.488]",7,"(-28.838, -27.314]",6,"(5.705, 6.522]",5,"(3.983, 4.807]",39,"(23.344, 26.023]",25,"(116.58, 123.544]",22,"(22.381, 24.254]",9,"(114.567, 117.1]",28,"(16.833, 18.443]",18,"(5.101, 5.309]",10,"(773.561, 812.449]",35,"(-0.001, 0.00328]",0
141,-10.05272727,-27.56272727,4.008181818,4.561403509,29.99724771,121.2948718,29.25081967,122.6666667,23.5,6.352459016,848.4845455,0,0.298125247,0.273313065,0.253878783,0.813016041,0.293569236,0.195243254,0.101876376,0.352735135,0.302299405,0.300041032,0.682436553,0,"(-10.295, -9.294]",5,"(-28.838, -27.314]",6,"(3.739, 4.741]",3,"(3.983, 4.807]",39,"(28.853, 32.312]",27,"(116.58, 123.544]",22,"(26.84, 29.761]",11,"(120.066, 122.913]",30,"(21.902, 24.065]",21,"(6.133, 6.415]",14,"(847.712, 891.391]",37,"(-0.001, 0.00328]",0
142,-4.62764977,-21.86221198,6.977419355,0.552727273,32.77740113,72.30909091,45.58986175,63.60909091,8.091603053,9.709677419,692.5852535,0,0.417436813,0.379954085,0.320809855,0.62008495,0.320777316,0.116392903,0.163050327,0.168858575,0.1040888,0.474995331,0.556010555,0,"(-5.42, -4.265]",10,"(-23.007, -21.409]",10,"(6.522, 7.312]",6,"(0.481, 0.618]",21,"(32.312, 36.378]",28,"(70.98, 76.433]",14,"(44.152, 46.73]",17,"(63.031, 65.731]",6,"(6.488, 8.348]",12,"(9.503, 9.714]",28,"(669.005, 702.516]",31,"(-0.001, 0.00328]",0
143,-7.399115044,-25.71504425,4.02079646,0.647368421,25.35782313,41.89247312,44.19405941,54.13414634,13.02721088,9.945544554,768.2061947,0,0.356485083,0.307878151,0.254163136,0.624639875,0.248165327,0.067432552,0.157824394,0.139358207,0.167579494,0.487287045,0.617335099,0,"(-7.488, -6.566]",8,"(-25.829, -24.569]",8,"(3.739, 4.741]",3,"(0.618, 0.7]",22,"(23.344, 26.023]",25,"(37.363, 43.464]",8,"(44.152, 46.73]",17,"(50.503, 55.119]",3,"(11.686, 13.166]",15,"(9.714, 9.976]",29,"(749.607, 773.561]",34,"(-0.001, 0.00328]",0
144,0.910443038,-9.905660377,10.89873418,2.471428571,26.87062706,50.10747664,167.9414706,107.7897196,15.08455882,13.71637427,511.2037975,0,0.53923388,0.603628401,0.409202179,0.712428934,0.262970441,0.080655898,0.621139079,0.306415559,0.194044815,0.683795817,0.408919883,0,"(0.354, 1.089]",15,"(-10.363, -9.3]",18,"(10.499, 11.653]",12,"(2.269, 2.566]",34,"(26.023, 28.853]",26,"(48.065, 54.368]",10,"(154.302, 269.132]",40,"(106.718, 108.225]",24,"(13.166, 15.42]",16,"(13.386, 14.506]",39,"(497.903, 531.605]",26,"(-0.001, 0.00328]",0
145,-9.505821918,-32.97842466,11.57431507,0.679207921,31.38505747,134.8636364,29.18992806,134.8157895,18.5503876,6.816546763,835.1708904,0,0.310153118,0.172000207,0.424430787,0.626172258,0.307151091,0.217084324,0.101648395,0.390561593,0.238628559,0.324225978,0.67163989,0,"(-10.295, -9.294]",5,"(-33.211, -31.573]",3,"(10.499, 11.653]",12,"(0.618, 0.7]",22,"(28.853, 32.312]",27,"(131.45, 140.04]",24,"(26.84, 29.761]",11,"(131.984, 135.909]",33,"(18.443, 20.015]",19,"(6.674, 6.86]",16,"(812.449, 847.712]",36,"(-0.001, 0.00328]",0
146,-15.28911565,-36.2277027,7.072297297,-0.195,13.82769231,77.94444444,14.64266667,83.14159292,19.94392523,5.12,1023.209524,0,0.182963446,0.111215119,0.322948547,0.584098048,0.135325251,0.125463894,0.047182934,0.229673284,0.256554755,0.235814051,0.824129178,0,"(-16.875, -14.967]",1,"(-36.58, -34.882]",1,"(6.522, 7.312]",6,"(-0.212, -0.086]",15,"(13.011, 14.151]",18,"(76.433, 83.156]",15,"(13.962, 15.263]",4,"(82.582, 84.924]",13,"(18.443, 20.015]",19,"(5.101, 5.309]",10,"(1015.889, 1240.081]",40,"(-0.001, 0.00328]",0
147,-16.59633028,-34.71009174,6.442201835,0.898275862,11.88256881,51.92405063,11.73495935,54.52439024,20.64864865,4.406504065,1054.088991,0,0.154214395,0.139605461,0.308745249,0.636715643,0.116289224,0.083579961,0.036296375,0.140573237,0.265620179,0.198631728,0.849170776,0,"(-16.875, -14.967]",1,"(-34.882, -33.211]",2,"(5.705, 6.522]",5,"(0.808, 0.915]",24,"(11.794, 13.011]",17,"(48.065, 54.368]",10,"(10.956, 12.754]",2,"(50.503, 55.119]",3,"(20.015, 21.902]",20,"(4.4, 4.611]",7,"(1015.889, 1240.081]",40,"(-0.001, 0.00328]",0
148,-11.49205607,-29.20841121,3.457943925,-2.629090909,63.38505747,117.4537037,55.80236967,78.33636364,27,12.21800948,897.9813084,0,0.266470663,0.242526828,0.241475595,0.466949196,0.620320341,0.189060288,0.201286318,0.214712138,0.347322721,0.605711722,0.722575784,0,"(-11.526, -10.295]",4,"(-30.12, -28.838]",5,"(2.712, 3.739]",2,"(-2.945, -2.464]",3,"(55.882, 102.181]",32,"(116.58, 123.544]",22,"(54.951, 57.298]",21,"(77.85, 80.247]",11,"(26.326, 29.497]",23,"(12.187, 12.573]",37,"(891.391, 941.774]",38,"(-0.001, 0.00328]",0
149,-14.87268722,-31.23788546,-0.061674009,-2.415789474,32.60067568,63.77777778,30.80295567,46.93069307,27.27044025,9.088669951,985.8867841,0,0.19212179,0.204560926,0.162138122,0.477215049,0.319047786,0.102660407,0.107687628,0.116930158,0.350801611,0.442632847,0.793862429,0,"(-14.967, -12.906]",2,"(-31.573, -30.12]",4,"(-7.256, 0.658]",0,"(-2.464, -2.001]",4,"(32.312, 36.378]",28,"(59.501, 65.965]",12,"(29.761, 32.142]",12,"(44.166, 50.503]",2,"(26.326, 29.497]",23,"(8.997, 9.221]",26,"(941.774, 1015.889]",39,"(-0.001, 0.00328]",0
150,0.482461538,-11.84123077,9.142153846,0.36984127,10.08770227,31.45833333,42.21851852,50.90740741,15.92647059,7.074074074,476.8181538,0,0.529821454,0.567419183,0.369606221,0.611282943,0.098723692,0.050637156,0.150427899,0.129311712,0.204875004,0.337646467,0.381034962,0,"(0.354, 1.089]",15,"(-12.888, -11.594]",16,"(8.595, 9.173]",9,"(0.353, 0.481]",20,"(9.419, 10.699]",15,"(30.214, 37.363]",7,"(41.886, 44.152]",16,"(50.503, 55.119]",3,"(15.42, 16.833]",17,"(6.86, 7.123]",17,"(475.888, 497.903]",25,"(-0.001, 0.00328]",0
151,-9.298275862,-31.94068966,5.456896552,-1.193,29.25144509,199.6422018,27.04928058,193.5663717,28.54225352,7.845323741,754.3275862,0,0.314717596,0.191413385,0.286534988,0.536065925,0.28627041,0.321355657,0.093633735,0.573482325,0.367161968,0.377838503,0.606080289,0,"(-10.295, -9.294]",5,"(-33.211, -31.573]",3,"(4.741, 5.705]",4,"(-1.355, -1.138]",7,"(28.853, 32.312]",27,"(194.198, 230.527]",29,"(26.84, 29.761]",11,"(191.948, 330.556]",40,"(26.326, 29.497]",23,"(7.628, 7.874]",20,"(749.607, 773.561]",34,"(-0.001, 0.00328]",0
152,-16.12328767,-36.65782313,-0.865540541,-4.075,18.4546875,151.6944444,17.27565789,146.2212389,28.6,5.809210526,946.2178082,0,0.164617833,0.103168744,0.144017764,0.397359935,0.18060752,0.244176168,0.057040946,0.426072614,0.367904808,0.271730792,0.761693009,0,"(-16.875, -14.967]",1,"(-42.174, -36.58]",0,"(-7.256, 0.658]",0,"(-4.901, -3.745]",1,"(18.161, 19.788]",22,"(147.396, 158.139]",26,"(16.625, 18.057]",6,"(145.612, 152.467]",36,"(26.326, 29.497]",23,"(5.573, 5.897]",12,"(941.774, 1015.889]",39,"(-0.001, 0.00328]",0
153,-19.94766355,-37.2212963,-3.812149533,-5.668965517,15.56132075,94.81818182,14.80645161,88.6097561,29.65753425,4.983870968,1062.398131,0,0.080509859,0.092627705,0.077596773,0.320644957,0.152291473,0.15262484,0.047796151,0.246698484,0.381508722,0.228719976,0.855909045,0,"(-23.609, -16.875]",0,"(-42.174, -36.58]",0,"(-7.256, 0.658]",0,"(-12.331999999999999, -4.901]",0,"(15.262, 17.018]",20,"(93.736, 99.193]",18,"(13.962, 15.263]",4,"(86.963, 88.898]",15,"(29.497, 32.965]",24,"(4.871, 5.101]",9,"(1015.889, 1240.081]",40,"(-0.001, 0.00328]",0
154,-11.22122642,-29.25896226,4.583018868,-3.749541284,44.28546512,123.5420561,52.25837321,99.02777778,34.32394366,8.555023923,801.4259434,0,0.272426911,0.241581156,0.266836473,0.413023735,0.433401434,0.198860452,0.18801747,0.279135135,0.4415365,0.414823019,0.644274541,0,"(-11.526, -10.295]",4,"(-30.12, -28.838]",5,"(3.739, 4.741]",3,"(-4.901, -3.745]",1,"(40.008, 45.292]",30,"(116.58, 123.544]",22,"(51.742, 54.951]",20,"(97.851, 100.127]",20,"(32.965, 39.69]",25,"(8.345, 8.561]",23,"(773.561, 812.449]",35,"(-0.001, 0.00328]",0
155,-14.03524229,-33.50969163,2.713656388,-3.325757576,43.85890411,102.7604167,48.85544554,86.83333333,43.76923077,8.876237624,868.9823789,0,0.210539382,0.162061658,0.224698236,0.433419758,0.429226878,0.165409121,0.175276788,0.241167568,0.563038826,0.431562388,0.699059201,0,"(-14.967, -12.906]",2,"(-34.882, -33.211]",2,"(2.712, 3.739]",2,"(-3.745, -2.945]",2,"(40.008, 45.292]",30,"(99.193, 105.141]",19,"(46.73, 49.319]",18,"(84.924, 86.963]",14,"(39.69, 77.738]",26,"(8.791, 8.997]",25,"(847.712, 891.391]",37,"(-0.001, 0.00328]",0
156,2.612693498,-13.70061728,13.59659443,-0.615873016,25.6695082,175.2803738,159.4794286,160.0140845,10.3390411,16.51851852,466.220743,0,0.576670796,0.532635157,0.470016,0.563842111,0.251215645,0.282141447,0.589456894,0.469016825,0.132999403,0.829823606,0.372441028,0,"(1.977, 2.71]",17,"(-14.259, -12.888]",15,"(12.722, 13.884]",14,"(-0.634, -0.52]",11,"(23.344, 26.023]",25,"(175.253, 194.198]",28,"(154.302, 269.132]",40,"(152.467, 160.524]",37,"(10.261, 11.686]",14,"(14.506, 19.784]",40,"(453.368, 475.888]",24,"(-0.001, 0.00328]",0
157,-6.656506849,-35.49452055,13.14417808,-3.275247525,23.89537572,114.4684685,33.52882562,119.7043478,12.17605634,7.174377224,754.5674658,0,0.372816969,0.124930948,0.459817856,0.435850725,0.233853028,0.18425508,0.117893381,0.343511915,0.156630408,0.342873552,0.606274818,0,"(-7.488, -6.566]",8,"(-36.58, -34.882]",1,"(12.722, 13.884]",14,"(-3.745, -2.945]",2,"(23.344, 26.023]",25,"(111.171, 116.58]",21,"(32.142, 35.115]",13,"(117.1, 120.066]",29,"(11.686, 13.166]",15,"(7.123, 7.375]",18,"(749.607, 773.561]",34,"(-0.001, 0.00328]",0
158,-8.476351351,-36.52905405,13.30608108,-3.037623762,9.3546875,56.69158879,12.61217949,63.54385965,2.701388889,4.358974359,813.1567568,0,0.332793854,0.105577661,0.463467393,0.447287172,0.091550015,0.091254066,0.039580718,0.168655477,0.034750138,0.196154818,0.653787604,0,"(-9.294, -8.259]",6,"(-36.58, -34.882]",1,"(12.722, 13.884]",14,"(-3.745, -2.945]",2,"(8.209, 9.419]",14,"(54.368, 59.501]",11,"(10.956, 12.754]",2,"(63.031, 65.731]",6,"(2.146, 2.959]",8,"(4.183, 4.4]",6,"(812.449, 847.712]",36,"(-0.001, 0.00328]",0
159,-9.730555556,-37.64862385,12.74907407,-2.4,10.9287037,59.11538462,13.74076923,54.74698795,3.866666667,4.776923077,859.6694444,0,0.305210641,0.084633578,0.450911619,0.47797497,0.106954186,0.095155549,0.043806198,0.141266298,0.049740044,0.217935327,0.691506909,0,"(-10.295, -9.294]",5,"(-42.174, -36.58]",0,"(12.722, 13.884]",14,"(-2.464, -2.001]",4,"(10.699, 11.794]",16,"(54.368, 59.501]",11,"(12.754, 13.962]",3,"(50.503, 55.119]",3,"(2.959, 4.169]",9,"(4.611, 4.871]",8,"(847.712, 891.391]",37,"(-0.001, 0.00328]",0
160,-3.380094787,-29.20947867,16.35734597,-1.014545455,31.9816092,115.5963303,57.81079812,101.2818182,4.347826087,11.04225352,660.8805687,0,0.444873793,0.242506858,0.532247485,0.544654653,0.312989268,0.186070552,0.208805945,0.28615312,0.055929585,0.544439701,0.530299749,0,"(-4.265, -2.759]",11,"(-30.12, -28.838]",5,"(15.343, 16.481]",16,"(-1.138, -0.914]",8,"(28.853, 32.312]",27,"(111.171, 116.58]",21,"(57.298, 59.959]",22,"(100.127, 102.075]",21,"(4.169, 5.36]",10,"(11.04, 11.429]",34,"(632.339, 669.005]",30,"(-0.001, 0.00328]",0
161,-6.688938053,-29.64734513,12.16106195,-1.585496183,43.90275862,119.2211538,71.89054726,114.64,17.51923077,11.8358209,744.3243363,0,0.372103722,0.234315577,0.437656942,0.517175719,0.429656062,0.191905278,0.261521024,0.327744,0.225363959,0.585794777,0.597968187,0,"(-7.488, -6.566]",8,"(-30.12, -28.838]",5,"(11.653, 12.722]",13,"(-1.604, -1.355]",6,"(40.008, 45.292]",30,"(116.58, 123.544]",22,"(70.504, 73.277]",27,"(114.567, 117.1]",28,"(16.833, 18.443]",18,"(11.768, 12.187]",36,"(727.645, 749.607]",33,"(-0.001, 0.00328]",0
162,6.858730159,-3.58984127,20.1215873,-0.213829787,5.893898305,84.2849162,103.4150442,134.5188679,3.26618705,13.31268437,323.1653968,0,0.670052187,0.72178007,0.617099136,0.5831918,0.057680866,0.135669885,0.379549856,0.389637124,0.042015592,0.662758376,0.256430784,0,"(6.576, 7.466]",22,"(-4.104, -3.28]",24,"(19.031, 20.224]",19,"(-0.306, -0.212]",14,"(5.509, 6.688]",12,"(83.156, 87.911]",16,"(100.693, 106.354]",36,"(131.984, 135.909]",33,"(2.959, 4.169]",9,"(12.573, 13.386]",38,"(302.402, 330.602]",18,"(-0.001, 0.00328]",0
163,3.538285714,-13.07885714,20.29088319,-0.371578947,20.27330508,215.6190476,53.11158192,221.266055,1.514754098,7.881355932,377.2622857,0,0.597026976,0.544266585,0.62091532,0.575599589,0.198405492,0.347072914,0.191211914,0.659725663,0.019485501,0.379716244,0.300300471,0,"(3.516, 4.503]",19,"(-14.259, -12.888]",15,"(20.224, 21.561]",20,"(-0.437, -0.306]",13,"(19.788, 21.333]",23,"(194.198, 230.527]",29,"(51.742, 54.951]",20,"(191.948, 330.556]",40,"(1.504, 2.146]",7,"(7.874, 8.117]",21,"(358.708, 383.882]",20,"(-0.001, 0.00328]",0
164,4.46442953,-13.83892617,22.71879195,0.683168317,27.74166667,325.9245283,47.96257669,213.3859649,0.025,6.932515337,405.1107383,0,0.617395288,0.530047776,0.675644028,0.626362866,0.271494904,0.524627007,0.171933856,0.635190896,0.000321595,0.330269434,0.322884079,0,"(3.516, 4.503]",19,"(-14.259, -12.888]",15,"(22.606, 23.462]",22,"(0.618, 0.7]",22,"(26.023, 28.853]",26,"(230.527, 621.25]",30,"(46.73, 49.319]",18,"(191.948, 330.556]",40,"(0.00997, 0.0579]",1,"(6.86, 7.123]",17,"(383.882, 409.25]",21,"(-0.001, 0.00328]",0
165,2.925,-15.88981481,21.83611111,0.674137931,19.37321429,189.8181818,30.40144928,125.5679012,0.352941176,4.31884058,450.6240741,0,0.583539228,0.49168127,0.655747077,0.625928248,0.189596718,0.305542345,0.106184374,0.361768168,0.004540166,0.194063332,0.359792963,0,"(2.71, 3.516]",18,"(-16.177, -14.259]",14,"(21.561, 22.606]",21,"(0.618, 0.7]",22,"(18.161, 19.788]",22,"(175.253, 194.198]",28,"(29.761, 32.142]",12,"(122.913, 127.471]",31,"(0.294, 0.585]",4,"(4.183, 4.4]",6,"(434.277, 453.368]",23,"(-0.001, 0.00328]",0
166,3.311162791,-13.5055814,23.3455814,-1.784545455,17.22816092,216.046729,55.47511312,83.7037037,0,8.316742081,430.8246512,0.619069767,0.592031953,0.536283744,0.689772804,0.5075958,0.16860407,0.347761334,0.200061058,0.231423423,0,0.402405467,0.343736688,0.005209615,"(2.71, 3.516]",18,"(-14.259, -12.888]",15,"(22.606, 23.462]",22,"(-2.001, -1.604]",5,"(17.018, 18.161]",21,"(194.198, 230.527]",29,"(54.951, 57.298]",21,"(82.582, 84.924]",13,"(-0.001, 0.00997]",0,"(8.117, 8.345]",22,"(409.25, 434.277]",22,"(0.572, 1.088]",5
167,0.808849558,-16.56504425,18.7300885,-2.390909091,15.88068966,140.0873786,69.87512438,97.21978022,1.204081633,9.701492537,502.9880531,0.001769912,0.536999575,0.479049577,0.585732664,0.478412501,0.15541699,0.225492762,0.253975209,0.27350591,0.015489071,0.474568793,0.402257353,1.49E-05,"(0.354, 1.089]",15,"(-17.857, -16.177]",13,"(18.189, 19.031]",18,"(-2.464, -2.001]",4,"(15.262, 17.018]",20,"(140.04, 147.396]",25,"(67.898, 70.504]",26,"(96.055, 97.851]",19,"(1.001, 1.504]",6,"(9.503, 9.714]",28,"(497.903, 531.605]",26,"(-0.001, 0.00328]",0
168,10.32169811,-0.912852665,24.08522013,-0.727659574,2.508305648,109.3305085,60.73942857,81.45754717,1.363333333,9.834285714,230.1034591,0.906918239,0.746211861,0.771859191,0.706445371,0.558462005,0.024547631,0.175984722,0.219770841,0.224429985,0.017537653,0.481489027,0.180962523,0.007631926,"(9.474, 10.431]",25,"(-1.001, 0.261]",28,"(23.462, 24.369]",23,"(-0.783, -0.634]",10,"(2.128, 3.257]",9,"(105.141, 111.171]",20,"(59.959, 62.548]",23,"(80.247, 82.582]",12,"(1.001, 1.504]",6,"(9.714, 9.976]",29,"(215.885, 247.339]",15,"(0.572, 1.088]",5
