"REF_DATE","GEO","DGUID","Type of grain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","785342","","","","0"
"2001-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","478352","","","","0"
"2001-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","418005","","","","0"
"2001-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","432343","","","","0"
"2001-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","640998","","","","0"
"2001-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","715507","","","","0"
"2001-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","834071","","","","0"
"2001-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","644205","","","","0"
"2001-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","618793","","","","0"
"2001-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","886452","","","","0"
"2001-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","620196","","","","0"
"2001-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","604119","","","","0"
"2002-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","465313","","","","0"
"2002-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","607283","","","","0"
"2002-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","362851","","","","0"
"2002-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","390877","","","","0"
"2002-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","257314","","","","0"
"2002-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","291877","","","","0"
"2002-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","652713","","","","0"
"2002-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","126935","","","","0"
"2002-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","356687","","","","0"
"2002-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","412793","","","","0"
"2002-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","528246","","","","0"
"2002-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","638830","","","","0"
"2003-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","66587","","","","0"
"2003-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","136682","","","","0"
"2003-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","173046","","","","0"
"2003-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","263149","","","","0"
"2003-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","226849","","","","0"
"2003-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","377230","","","","0"
"2003-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","549002","","","","0"
"2003-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","560089","","","","0"
"2003-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","451672","","","","0"
"2003-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","558099","","","","0"
"2003-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","478266","","","","0"
"2003-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","741380","","","","0"
"2004-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","333432","","","","0"
"2004-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","325485","","","","0"
"2004-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","485831","","","","0"
"2004-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","268930","","","","0"
"2004-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","273688","","","","0"
